origin,destination,dist_bike_m,time_bike_min,dist_walk_m,time_walk_min
Centrum,Centrum,1107.3007184640799,4.42920287385632,1107.3007184640799,13.287608621568959
Centrum,Blixembosch,6599.264126479755,26.397056505919018,7537.467907941626,90.44961489529952
Centrum,Meerhoven,5794.590599766237,23.178362399064945,6377.085806392423,76.52502967670908
Blixembosch,Centrum,6644.648292447924,26.578593169791695,7537.467907941625,90.44961489529949
Blixembosch,Blixembosch,944.7976109852856,3.779190443941142,944.7976109852856,11.337571331823428
Blixembosch,Meerhoven,8459.538000740367,33.83815200296147,10807.318709029825,129.68782450835792
Meerhoven,Centrum,5761.719330152679,23.04687732061071,6377.085806392428,76.52502967670914
Meerhoven,Blixembosch,8460.13844575554,33.84055378302216,10807.318709029827,129.68782450835792
Meerhoven,Meerhoven,976.734333848879,3.906937335395516,976.734333848879,11.720812006186549
