,step,simulation_minute,robot_km,bike_km,total_km,delivered_parcels,robot_energy_kwh,bike_energy_kwh,total_energy_kwh,robot_co2_kg,bike_co2_kg,total_co2_kg,traditional_co2_kg,co2_savings_kg,co2_reduction_pct,energy_per_parcel_kwh,co2_per_parcel_kg
0,0,0,0.0053259522689352,0.0,0.0053259522689352,0.0,0.0007988928403402799,0.0,0.0007988928403402799,0.00018614203179928525,0.0,0.00018614203179928525,0.0,-0.00018614203179928525,0.0,0.0,0.0
1,1,1,0.0886592856022686,0.0,0.0886592856022686,0.0,0.01329889284034029,0.0,0.01329889284034029,0.0030986420317992876,0.0,0.0030986420317992876,0.0,-0.0030986420317992876,0.0,0.0,0.0
2,2,2,0.1221929908049205,0.0,0.1221929908049205,0.0,0.018328948620738077,0.0,0.018328948620738077,0.004270645028631972,0.0,0.004270645028631972,0.0,-0.004270645028631972,0.0,0.0,0.0
3,3,3,0.1273514400297261,0.0,0.1273514400297261,0.0,0.019102716004458915,0.0,0.019102716004458915,0.004450932829038927,0.0,0.004450932829038927,0.0,-0.004450932829038927,0.0,0.0,0.0
4,4,4,0.168447374826612,0.0,0.168447374826612,0.0,0.025267106223991802,0.0,0.025267106223991802,0.00588723575019009,0.0,0.00588723575019009,0.0,-0.00588723575019009,0.0,0.0,0.0
5,5,5,0.2131962715984618,0.0,0.2131962715984618,0.0,0.03197944073976927,0.0,0.03197944073976927,0.007451209692366241,0.0,0.007451209692366241,0.0,-0.007451209692366241,0.0,0.0,0.0
6,6,6,0.2165312415972867,0.0,0.2165312415972867,0.0,0.032479686239593006,0.0,0.032479686239593006,0.007567766893825171,0.0,0.007567766893825171,0.0,-0.007567766893825171,0.0,0.0,0.0
7,7,7,0.2400597175233825,0.0,0.2400597175233825,0.0,0.03600895762850737,0.0,0.03600895762850737,0.008390087127442217,0.0,0.008390087127442217,0.0,-0.008390087127442217,0.0,0.0,0.0
8,8,8,0.2672711278816871,0.0,0.2672711278816871,0.0,0.04009066918225306,0.0,0.04009066918225306,0.009341125919464965,0.0,0.009341125919464965,0.0,-0.009341125919464965,0.0,0.0,0.0
9,9,9,0.28616599199727,0.0,0.28616599199727,0.0,0.0429248987995905,0.0,0.0429248987995905,0.010001501420304587,0.0,0.010001501420304587,0.0,-0.010001501420304587,0.0,0.0,0.0
10,10,10,0.3333025359020833,0.0,0.3333025359020833,0.0,0.049995380385312496,0.0,0.049995380385312496,0.011648923629777812,0.0,0.011648923629777812,0.0,-0.011648923629777812,0.0,0.0,0.0
11,11,11,0.4146381336601457,0.0,0.4146381336601457,0.0,0.06219572004902185,0.0,0.06219572004902185,0.014491602771422092,0.0,0.014491602771422092,0.0,-0.014491602771422092,0.0,0.0,0.0
12,12,12,0.4550132503865914,0.0,0.4550132503865914,2.0,0.06825198755798871,0.0,0.06825198755798871,0.015902713101011372,0.0,0.015902713101011372,0.22869333333333333,0.21279062023232195,93.04627167341503,0.034125993778994355,0.007951356550505686
13,13,13,0.4953883671130371,0.0,0.4953883671130371,2.0,0.07430825506695556,0.0,0.07430825506695556,0.017313823430600644,0.0,0.017313823430600644,0.22869333333333333,0.2113795099027327,92.4292399877854,0.03715412753347778,0.008656911715300322
14,14,14,0.5767239648710996,0.0,0.5767239648710996,2.0,0.08650859473066493,0.0,0.08650859473066493,0.02015650257224493,0.0,0.02015650257224493,0.22869333333333333,0.2085368307610884,91.18623080154869,0.04325429736533246,0.010078251286122464
15,15,15,0.6238605087759129,0.0,0.6238605087759129,2.0,0.09357907631638694,0.0,0.09357907631638694,0.021803924781718158,0.0,0.021803924781718158,0.22869333333333333,0.20688940855161517,90.46586777851643,0.04678953815819347,0.010901962390859079
16,16,16,0.6427553728914959,0.0,0.6427553728914959,2.0,0.09641330593372438,0.0,0.09641330593372438,0.022464300282557782,0.0,0.022464300282557782,0.22869333333333333,0.20622903305077556,90.1771075023797,0.04820665296686219,0.011232150141278891
17,17,17,0.6699667832498004,0.0,0.6699667832498004,2.0,0.10049501748747006,0.0,0.10049501748747006,0.023415339074580526,0.0,0.023415339074580526,0.22869333333333333,0.20527799425875282,89.76124982163282,0.05024750874373503,0.011707669537290263
18,18,18,0.6934952591758963,0.0,0.6934952591758963,2.0,0.10402428887638444,0.0,0.10402428887638444,0.024237659308197577,0.0,0.024237659308197577,0.22869333333333333,0.20445567402513576,89.4016764918679,0.05201214443819222,0.012118829654098788
19,19,19,0.6968302291747213,0.0,0.6968302291747213,2.0,0.10452453437620819,0.0,0.10452453437620819,0.02435421650965651,0.0,0.02435421650965651,0.22869333333333333,0.20433911682367684,89.35070989841279,0.052262267188104096,0.012177108254828255
20,20,20,0.741579125946571,0.0,0.741579125946571,2.0,0.11123686889198565,0.0,0.11123686889198565,0.02591819045183266,0.0,0.02591819045183266,0.22869333333333333,0.20277514288150067,88.66683603143977,0.05561843444599283,0.01295909522591633
21,21,21,0.7826750607434569,0.0,0.7826750607434569,2.0,0.11740125911151854,0.0,0.11740125911151854,0.02735449337298382,0.0,0.02735449337298382,0.22869333333333333,0.2013388399603495,88.03878846213978,0.05870062955575927,0.01367724668649191
22,22,22,0.7878335099682625,0.0,0.7878335099682625,2.0,0.11817502649523937,0.0,0.11817502649523937,0.027534781173390775,0.0,0.027534781173390775,0.22869333333333333,0.20115855215994255,87.95995459419129,0.05908751324761968,0.013767390586695388
23,23,23,0.8711668433015959,0.0,0.8711668433015959,2.0,0.13067502649523938,0.0,0.13067502649523938,0.030447281173390777,0.0,0.030447281173390777,0.22869333333333333,0.19824605215994257,86.6864150652734,0.06533751324761969,0.015223640586695389
24,24,24,0.904700548504248,0.0,0.904700548504248,2.0,0.13570508227563718,0.0,0.13570508227563718,0.031619284170223465,0.0,0.031619284170223465,0.22869333333333333,0.19707404916310986,86.17393707575349,0.06785254113781859,0.015809642085111732
25,25,25,0.9100265007731831,0.0,0.9100265007731831,2.0,0.13650397511597748,0.0,0.13650397511597748,0.03180542620202276,0.0,0.03180542620202276,0.22869333333333333,0.19688790713131057,86.09254334683007,0.06825198755798874,0.01590271310101138
26,26,26,0.9100265007731831,0.0,0.9100265007731831,2.0,0.13650397511597748,0.0,0.13650397511597748,0.03180542620202276,0.0,0.03180542620202276,0.22869333333333333,0.19688790713131057,86.09254334683007,0.06825198755798874,0.01590271310101138
27,27,27,0.9100265007731831,0.0,0.9100265007731831,2.0,0.13650397511597748,0.0,0.13650397511597748,0.03180542620202276,0.0,0.03180542620202276,0.22869333333333333,0.19688790713131057,86.09254334683007,0.06825198755798874,0.01590271310101138
