,TotalRobotKm,TotalBikeKm,AvgParcelDelay,DeliveredParcels,RobotQueue,BikeQueue
0,0.7047694267249951,0.12064203014975605,0.0,0,0,0
1,1.0085714234196976,0.3815431164877872,25.0,1,0,0
2,1.8524632009435864,0.5065542744016488,25.0,1,0,0
3,2.713218260719934,0.6674328298545236,25.0,1,0,0
4,3.574794846469357,0.8673823311420046,26.5,2,0,0
5,4.204439476892142,1.163067523732021,26.5,2,0,0
6,5.06218319198054,1.485786823461236,26.5,2,0,0
7,5.638772996514889,1.8228846445942164,30.0,3,0,0
8,6.391017500931701,2.041116723152016,37.5,4,0,0
9,7.152270198616361,2.113563217192038,43.4,5,0,0
10,8.030578438938097,2.2351998055166424,43.4,5,0,0
11,8.500045547462388,2.3993696651788725,46.666666666666664,6,0,0
12,9.193169230697446,2.5353694206202047,40.2,10,0,0
13,9.804563532393042,2.618818383341878,42.09090909090909,11,0,0
14,10.820820425884776,2.722591642131276,39.333333333333336,12,0,0
15,11.385510721386781,3.1052382323417986,39.57142857142857,14,0,0
16,12.185286153695838,3.329569774570478,40.0,15,0,0
17,12.874462338307902,3.5774518795055403,40.0,15,0,0
18,13.601431289387516,3.8807780379583057,38.875,16,0,0
19,14.287781876890087,3.9466335192619497,38.94444444444444,18,0,0
20,14.809264113563856,4.001055443455106,38.94444444444444,18,0,0
21,15.653613780430703,4.040603008026938,38.94444444444444,18,0,0
22,16.262099818126515,4.134497049193662,38.94444444444444,18,0,0
23,16.994884134993953,4.3712090698425925,38.94444444444444,18,0,0
24,17.6656453913955,4.553764956816626,38.94444444444444,18,0,0
25,18.012372419417286,4.756661884779952,38.94444444444444,18,0,0
26,18.5527453121848,4.857125988737154,38.94444444444444,18,0,0
27,18.90872000289356,5.165447287375921,38.0,19,0,0
28,19.300777088105082,5.437843100913522,38.0,19,0,0
29,19.625077413220346,5.647349578046143,38.0,19,0,0
30,20.038817068117655,5.814069021407897,38.0,19,0,0
31,20.239484142763377,5.9248049462435075,36.45,20,0,0
32,20.492031210420734,6.151879623873679,36.45,20,0,0
33,20.729485156256768,6.281555945406331,36.45,20,0,0
34,21.123850262405092,6.441674623546586,36.45,20,0,0
35,21.399723786434627,6.646136763310478,35.61904761904762,21,0,0
36,21.695445602924234,6.7865880201146105,35.61904761904762,21,0,0
37,21.931935052510415,6.824657763567235,35.61904761904762,21,0,0
38,22.23785854765268,6.8635120177716695,35.61904761904762,21,0,0
39,22.433800256539108,7.0212619844450055,34.68181818181818,22,0,0
40,22.672569141642956,7.283353985641819,34.68181818181818,22,0,0
41,22.79556407867219,7.563438162062767,34.68181818181818,22,0,0
42,22.92433631947145,7.73559254619289,34.68181818181818,22,0,0
43,23.080758673540615,7.804086897970705,34.68181818181818,22,0,0
44,23.212407219362635,8.09067204395181,34.68181818181818,22,0,0
45,23.309738657462898,8.424123806919608,34.68181818181818,22,0,0
46,23.450108281019457,8.805979332970896,34.68181818181818,22,0,0
47,23.600636722118708,9.217189929910566,33.82608695652174,23,0,0
48,23.773846223155758,9.747847972867264,33.82608695652174,23,0,0
49,23.942898994348443,10.262600940410792,33.82608695652174,23,0,0
50,24.053767763341384,10.493642188241981,33.82608695652174,23,0,0
51,24.217910177855043,10.810244973195093,33.82608695652174,23,0,0
52,24.36573937970613,11.317678586034793,33.82608695652174,23,0,0
53,24.4997218705331,11.689474805733855,33.82608695652174,23,0,0
54,24.597877238251204,11.956491843653215,33.82608695652174,23,0,0
55,24.7794088717426,12.066269286554222,33.82608695652174,23,0,0
56,24.946075538409264,12.461186363709476,33.82608695652174,23,0,0
57,25.02327635487579,12.69009666259715,33.82608695652174,23,0,0
58,25.10459896670548,13.5096548240169,33.82608695652174,23,0,0
59,25.232224216782566,13.756087398367187,33.82608695652174,23,0,0
60,25.505917491622345,14.275422394224826,31.44,25,0,0
61,25.82419085952746,14.75706702047118,30.26923076923077,26,0,0
62,26.369219762010836,15.372015274376823,29.14814814814815,27,0,0
63,27.284481058752704,16.326268999129226,29.14814814814815,27,0,0
64,28.697012568489075,16.81758830665554,28.107142857142858,28,0,0
65,29.66340576229068,17.45762905793466,27.310344827586206,29,2,0
66,31.34514618502036,18.597883252556866,27.310344827586206,29,3,0
67,32.84696802484199,19.955683188624956,27.310344827586206,29,5,0
68,34.464162469371026,21.364028896308245,25.903225806451612,31,8,0
69,35.814221066536845,22.426671199100593,25.903225806451612,31,11,0
70,37.56334764931006,23.809676082711896,25.903225806451612,31,14,0
71,39.3523511097259,25.39613209630369,25.4375,32,21,0
72,41.036212445697814,27.164742127321713,24.057142857142857,35,30,1
73,42.60107539142064,29.30468887976735,22.605263157894736,38,34,1
74,44.647622742511686,31.31222021718276,21.926829268292682,41,38,1
75,46.146704989082956,33.084240510424465,20.51063829787234,47,43,2
76,47.592969038205055,35.08185364120541,19.50980392156863,51,51,2
77,49.22050834245258,36.60586723388332,19.18867924528302,53,52,2
78,51.20471046361956,37.960078317638356,18.89090909090909,55,57,2
79,52.73337462536728,40.2131151393861,18.736842105263158,57,64,3
80,54.45544649662142,42.07534531059984,18.306451612903224,62,71,4
81,56.052632244492386,43.510618724700095,18.22222222222222,63,78,4
82,58.04034845754791,45.27739489711054,18.075757575757574,66,80,4
83,59.601580492331586,47.2358262796715,18.13235294117647,68,82,5
84,61.53447848287851,48.30549809967934,18.057142857142857,70,87,6
85,63.211431594328424,50.45022836266386,18.08450704225352,71,89,8
86,64.82572750408121,52.37653806600825,18.08450704225352,71,91,10
87,66.58917984910741,54.78532157208896,18.08450704225352,71,95,10
